,node_name,BGN,BGNx3,Base,G,G&I,I,node_id,neighborhood
90,J640-S_flow,6.255163579107766,5.992614612149882,6.444493716787059,5.735507793838441,3.4122050245077866,3.717095786138735,J640-S,"('Eager Park', 'Canal Street Creek')"
91,J659-S_flow,5.275314336262846,5.274025877703686,5.274662735938877,5.24318100490387,5.2438180484848615,5.275314336262846,J659-S,"('Baltimore Highlands', 'Harris Creek')"
92,J672-S_flow,6.463103027801313,6.448838210015187,6.467595017306739,6.404273959363313,6.4403453129707104,6.513898936084896,J672-S,"('Canton', 'Harris Creek')"
93,J675-S_flow,2.780609351163423,2.780152140074408,2.780378129994836,2.762844395343132,2.763069958758935,2.780609351163423,J675-S,"('Canton', 'Harris Creek')"
94,J686-S_flow,2.1124460966459373,2.113124085878171,2.1132819383330044,2.100846419894133,2.1008489843345144,2.112422806939486,J686-S,"('Canton', 'Harris Creek')"
95,J694-S_flow,0.0249505411904277,0.0249505411904277,0.0249505411904277,0.0249505411904277,0.0249639007847974,0.0249613042070397,J694-S,"('Canton', 'Harris Creek')"
96,J695-S_flow,6.421820615582357,6.416411073573793,6.423304172910739,6.373823951786044,5.8420125925488255,5.889900663278728,J695-S,"('Canton', 'Harris Creek')"
97,J712-S_flow,2.8444347513068875,2.391057023785734,2.845534451288909,2.3738739723362285,2.373875514592767,2.8444041095117227,J712-S,"('Patterson Park', 'Harris Creek')"
98,J714-S_flow,3.610596602957834,3.610289958233688,3.610441526335325,3.586291644471816,3.586441837647164,3.610596602957834,J714-S,"('Upper Fells Point', 'Northside, Drains to Harbor')"
99,J71-S_flow,3.0075870177207737,3.0079979037162032,3.0078060878022552,2.969268075189065,2.5323615601746448,2.56726264816238,J71-S,"('Federal Hill', 'Southside, Drains to Harbor')"
100,J722-S_flow,1.132534153201391,1.1325577991039064,1.132563304447622,1.1325562648277891,1.1325563550793254,1.132533340937564,J722-S,"('Fells Point', 'Northside, Drains to Harbor')"
101,J72-S_flow,1.9012689508484677,1.90187100924152,1.9020111831421924,1.8910570121678327,1.8910592916817408,1.9012482694532853,J72-S,"('Federal Hill', 'Southside, Drains to Harbor')"
102,J732-S_flow,3.42347810014562,3.423426050050343,3.4235393149840125,3.401164340451565,3.404970981776404,3.4271901156211264,J732-S,"('Fells Point', 'Northside, Drains to Harbor')"
